Envio_ID;Tipo_Evento;Modo;Início_Validade;Status;Protocolo;Código_Resposta;Descrição_Resposta;Nr_Recibo;Rubricas;Data_Envio
8;S-1010;alteracao;2026-03;erro;1.1.202603.0000000012937362376;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 10:03
9;S-1010;alteracao;2018-02;processado;1.1.202603.0000000012937400078;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 10:27
10;S-1010;alteracao;;erro;1.1.202603.0000000012937562937;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 11:55
11;S-1010;alteracao;2018-02;enviado;1.1.202603.0000000012937600584;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 12:22
12;S-1010;alteracao;2018-02;processado;1.1.202603.0000000012937600719;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 12:22
13;S-1010;alteracao;;erro;1.1.202603.0000000012937611775;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 12:29
14;S-1010;alteracao;2018-02;erro;1.1.202603.0000000012938184215;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 18:38
15;S-1010;alteracao;2018-02;processado;1.1.202603.0000000012938218819;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 19:08
16;S-1010;alteracao;2018-02;processado;1.1.202603.0000000012938222896;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 19:12
17;S-1010;alteracao;2018-02;processado;1.1.202603.0000000012938232904;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 19:20
18;S-1010;alteracao;2018-02;processado;1.1.202603.0000000012938234001;201;Lote Recebido com Sucesso.;;? (?);28/03/2026 19:21
21;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012969626949;201;Lote processado com sucesso.;1.1.0000000039598012258;? (?), ? (?);04/04/2026 00:28
22;CONSULTA-IDENT;consulta;2024-12;sucesso;;203;Quantidade total de eventos encontrados de acordo com o filtro informado: 18. Data de envio do último evento retornado: 20/12/2024 16:56:21.;;;08/04/2026 07:59
