arquivo,mes,sheet,tipo_detectado
SOLUCOES_ABRIL_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,ABR,Plano de saude,PLANO
SOLUCOES_ABRIL_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,ABR,Plano saude - ok,PLANO
SOLUCOES_ABRIL_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,ABR,Pensao alimenticia,PENSAO
SOLUCOES_FEVEREIRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,FEV,plano saude - ok,PLANO
SOLUCOES_FEVEREIRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,FEV,Plano de saude,PLANO
SOLUCOES_FEVEREIRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,FEV,Pensao alimenticia,PENSAO
SOLUCOES_JULHO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,JUL,Plano de saude,PLANO
SOLUCOES_JULHO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,JUL,Plan saude - ok,PLANO
SOLUCOES_JULHO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,JUL,Pensao alimenticia,PENSAO
SOLUCOES_JUNHO_2025_JAQUE_PLANO_PENSAO_PREENCHER (1).xlsx,JUN,PLNO SAUDE - OK,PLANO
SOLUCOES_JUNHO_2025_JAQUE_PLANO_PENSAO_PREENCHER (1).xlsx,JUN,Plano de saude,PLANO
SOLUCOES_JUNHO_2025_JAQUE_PLANO_PENSAO_PREENCHER (1).xlsx,JUN,Pensao alimenticia,PENSAO
SOLUCOES_MAIO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,MAI,plano saude - ok,PLANO
SOLUCOES_MAIO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,MAI,Plano de saude,PLANO
SOLUCOES_MAIO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,MAI,Pensao alimenticia,PENSAO
SOLUCOES_MARCO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,MAR,Plano de saude,PLANO
SOLUCOES_MARCO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,MAR,plano de saude - ok,PLANO
SOLUCOES_MARCO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,MAR,Pensao alimenticia - ok,PENSAO
SOLUCOES_MARCO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,MAR,pensao,PENSAO
SOLUCOES_OUTUBRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,OUT,Plano de saude,PLANO
SOLUCOES_OUTUBRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,OUT,plano saude - ok,PLANO
SOLUCOES_OUTUBRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,OUT,Pensao alimenticia,PENSAO
SOLUCOES_SETEMBRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,SET,Plano de saude,PLANO
SOLUCOES_SETEMBRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,SET,plano de saude - ok,PLANO
SOLUCOES_SETEMBRO_2025_JAQUE_PLANO_PENSAO_PREENCHER.xlsx,SET,Pensao alimenticia,PENSAO
