Envio_ID;Modo;Status;Protocolo;Codigo_Resposta;Descricao_Resposta;Nr_Recibo;Rubricas;Ocorrencias;Data_Envio
8;alteracao;erro;1.1.202603.0000000012937362376;201;Lote Recebido com Sucesso.;;?;;28/03/2026 10:03
9;alteracao;processado;1.1.202603.0000000012937400078;201;Lote Recebido com Sucesso.;;?;;28/03/2026 10:27
10;alteracao;erro;1.1.202603.0000000012937562937;201;Lote Recebido com Sucesso.;;?;;28/03/2026 11:55
11;alteracao;enviado;1.1.202603.0000000012937600584;201;Lote Recebido com Sucesso.;;?;;28/03/2026 12:22
12;alteracao;processado;1.1.202603.0000000012937600719;201;Lote Recebido com Sucesso.;;?;;28/03/2026 12:22
13;alteracao;erro;1.1.202603.0000000012937611775;201;Lote Recebido com Sucesso.;;?;;28/03/2026 12:29
14;alteracao;erro;1.1.202603.0000000012938184215;201;Lote Recebido com Sucesso.;;?;;28/03/2026 18:38
15;alteracao;processado;1.1.202603.0000000012938218819;201;Lote Recebido com Sucesso.;;?;;28/03/2026 19:08
16;alteracao;processado;1.1.202603.0000000012938222896;201;Lote Recebido com Sucesso.;;?;;28/03/2026 19:12
17;alteracao;processado;1.1.202603.0000000012938232904;201;Lote Recebido com Sucesso.;;?;;28/03/2026 19:20
18;alteracao;processado;1.1.202603.0000000012938234001;201;Lote Recebido com Sucesso.;;?;;28/03/2026 19:21
21;alteracao;processado;1.1.202604.0000000012969626949;201;Lote processado com sucesso.;1.1.0000000039598012258;?, ?;;04/04/2026 00:28
46;alteracao;processado;1.1.202604.0000000012998117450;201;Lote Recebido com Sucesso.;1.1.0000000039805605437;?;;09/04/2026 14:30
47;alteracao;erro;;402;Lote Incorreto - Schema Inválido.;;?, ?, ?, ?, ?;402: 'ID1059690710000002026040914332400001' is already used as an ID.;09/04/2026 14:33
48;alteracao;processado;1.1.202604.0000000012998156600;201;Lote Recebido com Sucesso.;1.1.0000000039805884030;?;;09/04/2026 14:33
