id,analise_natureza_id,codigoevento,natureza_anterior,natureza_nova,usuario,data_alteracao,motivo
64,461,13,1629-Ressarcimento de outras despesas,1810-Transporte,Ana,2026-03-27 13:37:03.472527,""
65,524,243,2920-Reembolsos diversos,6129-Outras multas ou indenizações,Ana,2026-03-27 13:37:03.472527,""
66,533,265,9254-Empréstimos consignados  desconto,6129-Outras multas ou indenizações,Ana,2026-03-27 13:37:03.472527,""
67,560,342,2920-Reembolsos diversos,"9243-Cesta básica ou refeição, vinculada ao PAT - Desconto",Ana,2026-03-27 13:37:03.472527,""
68,593,403,1020-Férias  gozadas,1016-Férias,Ana,2026-03-27 13:37:03.472527,""
69,595,405,1020-Férias  gozadas,1016-Férias,Ana,2026-03-27 13:37:03.472527,""
70,597,407,1017-Terço constitucional de férias,1023-Férias - Abono pecuniário,Ana,2026-03-27 13:37:03.472527,""
71,598,408,1021-Férias - abono ou gratificação de férias superior a 20 dias,1023-Férias - Abono pecuniário,Ana,2026-03-27 13:37:03.472527,""
72,600,421,1211-Gratificações,1603-Ajuda de custo,Ana,2026-03-27 13:37:03.472527,""
73,628,503,9210-DSR s/faltas e atrasos,9211-DSR sobre faltas,Ana,2026-03-27 13:37:03.472527,""
74,629,504,9210-DSR s/faltas e atrasos,9210-DSR s/faltas e atrasos,Ana,2026-03-27 13:37:03.472527,""
75,637,516,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
76,641,522,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
77,646,537,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
78,685,605,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
79,686,606,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
80,694,619,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
81,699,631,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
82,702,638,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
83,755,752,1020-Férias  gozadas,1016-Férias,Ana,2026-03-27 13:37:03.472527,""
84,594,404,1020-Férias  gozadas,1016-Férias,Ana,2026-03-27 13:37:03.472527,""
85,602,428,1299-Outros Adicionais,1629-Ressarcimento de outras despesas,Ana,2026-03-27 13:37:03.472527,""
86,603,430,2920-Reembolsos diversos,1629-Ressarcimento de outras despesas,Ana,2026-03-27 13:37:03.472527,""
87,626,501,9209-Faltas ou atrados,9209-Faltas ou atrasos,Ana,2026-03-27 13:37:03.472527,""
88,633,509,9210-DSR s/faltas e atrasos,9299-Outros descontos,Ana,2026-03-27 13:37:03.472527,""
89,556,328,0-Não Informado,"",Ana,2026-03-27 13:37:03.472527,""
90,636,512,9290-Desconto de pagamento indevido em meses anteriores,9209-Faltas ou atrasos,Ana,2026-03-27 13:37:03.472527,""
91,642,524,9290-Desconto de pagamento indevido em meses anteriores,9299-Outros descontos,Ana,2026-03-27 13:37:03.472527,""
92,823,899,9209-Faltas ou atrados,9299-Outros descontos,Ana,2026-03-27 13:37:03.472527,""
93,706,645,0-Não Informado,"",Ana,2026-03-27 13:37:03.472527,""
94,695,621,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
95,715,664,"9243-Cesta básica ou refeição, vinculada ao PAT - Desconto","9241-Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",Ana,2026-03-27 13:37:03.472527,""
96,724,685,0-Não Informado,"",Ana,2026-03-27 13:37:03.472527,""
97,758,757,9232-Contribuição Sindical  Assistencial,9232-Contribuição sindical - Assistencial,Ana,2026-03-27 13:37:03.472527,""
98,763,767,9209-Faltas ou atrados,9299-Outros descontos,Ana,2026-03-27 13:37:03.472527,""
99,771,776,"9243-Cesta básica ou refeição, vinculada ao PAT - Desconto","9241-Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",Ana,2026-03-27 13:37:03.472527,""
100,495,146,1002-Descanso semanal remunerado - DSR,1002-Descanso semanal remunerado - DSR,Ana,2026-03-27 13:37:03.472527,""
101,811,869,1299-Outros Adicionais,1629-Ressarcimento de outras despesas,Ana,2026-03-27 13:37:03.472527,""
102,466,35,1002-Descanso semanal remunerado - DSR,1002-Descanso semanal remunerado - DSR,Ana,2026-03-27 13:37:03.472527,""
103,493,136,1002-Descanso semanal remunerado - DSR,1002-Descanso semanal remunerado - DSR,Ana,2026-03-27 13:37:03.472527,""
104,501,159,1002-Descanso semanal remunerado - DSR,1002-Descanso semanal remunerado - DSR,Ana,2026-03-27 13:37:03.472527,""
105,502,160,1002-Descanso semanal remunerado - DSR,1002-Descanso semanal remunerado - DSR,Ana,2026-03-27 13:37:03.472527,""
106,504,163,1002-Descanso semanal remunerado - DSR,1012-Descanso semanal remunerado - DSR e feriado,Ana,2026-03-27 13:37:03.472527,""
107,505,170,1002-Descanso semanal remunerado - DSR,1012-Descanso semanal remunerado - DSR e feriado,Ana,2026-03-27 13:37:03.472527,""
108,520,234,1299-Outros Adicionais,6129-Outras multas ou indenizações,Ana,2026-03-27 13:37:03.472527,""
109,644,526,9200-Desconto de Adiantamentos,9232-Contribuição sindical - Assistencial,Ana,2026-03-27 13:37:03.472527,""
110,555,320,1003-Horas extraordinárias,1011-Sobreaviso e prontidão,Ana,2026-03-27 13:37:03.472527,""
111,666,577,"9243-Cesta básica ou refeição, vinculada ao PAT - Desconto",9299-Outros descontos,Ana,2026-03-27 13:37:03.472527,""
112,659,560,9299-Outros descontos,9221-Desconto de férias,Ana,2026-03-27 13:37:03.472527,""
113,668,579,9209-Faltas ou atrados,9207-Faltas,Ana,2026-03-27 13:37:03.472527,""
114,673,586,9230-Contribuição Sindical  Compulsória,9230-Contribuição sindical laboral,Ana,2026-03-27 13:37:03.472527,""
115,681,597,1002-Descanso semanal remunerado - DSR,9210-DSR s/faltas e atrasos,Ana,2026-03-27 13:37:03.472527,""
116,725,686,0-Não Informado,6901-Desconto do aviso prévio,Ana,2026-03-27 13:37:03.472527,""
117,729,692,0-Não Informado,"",Ana,2026-03-27 13:37:03.472527,""
118,730,693,0-Não Informado,"",Ana,2026-03-27 13:37:03.472527,""
119,738,710,"9243-Cesta básica ou refeição, vinculada ao PAT - Desconto","9241-Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",Ana,2026-03-27 13:37:03.472527,""
120,741,724,9299-Outros descontos,9270-Danos e prejuízos causados pelo trabalhador,Ana,2026-03-27 13:37:03.472527,""
121,772,778,"9243-Cesta básica ou refeição, vinculada ao PAT - Desconto",9299-Outros descontos,Ana,2026-03-27 13:37:03.472527,""
122,796,837,9209-Faltas ou atrados,9207-Faltas,Ana,2026-03-27 13:37:03.472527,""
123,806,861,9210-DSR s/faltas e atrasos,9210-DSR s/faltas e atrasos,Ana,2026-03-27 13:37:03.472527,""
124,822,897,0-Não Informado,"",Ana,2026-03-27 13:37:03.472527,""
125,836,994,0-Não Informado,"",Ana,2026-03-27 13:37:03.472527,""
126,497,151,9989-Outros valores informativos,1810-Transporte,Ana,2026-03-27 13:37:03.472527,""
127,463,18,1211-Gratificações,"1000-Salário, vencimento, soldo",Ana,2026-03-27 13:37:03.472527,""
128,464,19,1299-Outros Adicionais,6129-Outras multas ou indenizações,Ana,2026-03-27 13:37:03.472527,""
129,492,135,9299-Outros descontos,1002-Descanso semanal remunerado - DSR,Ana,2026-03-27 13:37:03.472527,""
130,769,774,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
131,770,775,9299-Outros descontos,9219-Desconto de assistência médica ou odontológica,Ana,2026-03-27 13:37:03.472527,""
