id,analise_natureza_id,codigoevento,nome_evento,natureza_anterior,natureza_nova_codigo,natureza_nova_nome,motivo,usuario_id,usuario_nome,status,criado_em,aplicado_em
3,461,13,REEMB. VALE TRANSPORTE,1629-Ressarcimento de outras despesas,1810,Transporte,"",,Ana,aplicada,2026-03-26 15:25:56.06855,2026-03-27 13:37:03.472527
16,524,243,REEMB. CONTRIB. SINDICAL,2920-Reembolsos diversos,6129,Outras multas ou indenizações,"",,Ana,aplicada,2026-03-27 12:07:41.877817,2026-03-27 13:37:03.472527
17,533,265,REEMB. EMPRESTIMO CONSIGNADO,9254-Empréstimos consignados  desconto,6129,Outras multas ou indenizações,"",,Ana,aplicada,2026-03-27 12:07:54.596131,2026-03-27 13:37:03.472527
19,560,342,DIF. CESTA BASICA CCT,2920-Reembolsos diversos,9243,"Cesta básica ou refeição, vinculada ao PAT - Desconto","",,Ana,aplicada,2026-03-27 12:09:35.581699,2026-03-27 13:37:03.472527
20,593,403,COMPLEMENTO FERIAS (DISSIDIO),1020-Férias  gozadas,1016,Férias,"",,Ana,aplicada,2026-03-27 12:11:49.255605,2026-03-27 13:37:03.472527
21,595,405,MEDIAS FERIAS (Ferias),1020-Férias  gozadas,1016,Férias,"",,Ana,aplicada,2026-03-27 12:12:02.256142,2026-03-27 13:37:03.472527
22,597,407,MEDIAS FERIAS S/ABONO (Ferias),1017-Terço constitucional de férias,1023,Férias - Abono pecuniário,"",,Ana,aplicada,2026-03-27 12:12:19.402194,2026-03-27 13:37:03.472527
23,598,408,1/3 MEDIAS FERIAS S/ABONO (Ferias),1021-Férias - abono ou gratificação de férias superior a 20 dias,1023,Férias - Abono pecuniário,"",,Ana,aplicada,2026-03-27 12:12:32.288428,2026-03-27 13:37:03.472527
24,600,421,AJUDA DE CUSTO,1211-Gratificações,1603,Ajuda de custo,"",,Ana,aplicada,2026-03-27 12:13:29.70817,2026-03-27 13:37:03.472527
25,628,503,DESC. D.S.R. S/FALTAS (DIAS),9210-DSR s/faltas e atrasos,9211,DSR sobre faltas,"",,Ana,aplicada,2026-03-27 12:13:54.530071,2026-03-27 13:37:03.472527
