id,cod_rubrica,descricao,cod_natureza,incid_inss,incid_irrf,incid_fgts,analise,incid_base_legal_inss,incid_base_legal_irrf,incid_base_legal_fgts,importado_em,corrigido,corrigido_em,envio_status,ini_valid_esocial
1,1,HORAS NORMAIS,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
2,2,SALARIO MES,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
3,5,PARTICIPACAO LUCROS/RESULTADOS,1300 - PLR - Participação nos lucros e resultados,0,14,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",14 - Artigo 3º da Lei nº 10.101/2000,"0 - Artigo 15, § 6º da Lei n° 8.036/90",2026-03-28 04:05:08.371145,f,,pendente,
4,10,GRATIFICAÇÃO,1211 - Gratificações,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
5,12,DIF. SALARIO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
7,17,SALARIO MES,6000 - Saldo de salários na rescisão contratual,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
8,18,ADICIONAL DE SALARIO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
10,21,SALARIO SUBSTITUTO MES ANTERIOR,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
11,35,DIF. D.S.R.,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
12,37,DIF. DISSIDIO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
14,52,ADIC. NOTURNO C/20%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
15,53,REEMB. I.R.F.,1623 - Ressarcimento de provisão,0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
16,54,ADIC. NOTURNO C/25%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
18,56,ADIC. NOTURNO C/30%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
19,57,ADIC. NOTURNO C/35%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
20,60,ADIC. INSALUBRIDADE 07/2019,1202 - Adicional de insalubridade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
21,61,ADIC. INSALUBRIDADE MES ANT.,1202 - Adicional de insalubridade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,2026-03-28 04:05:08.371145,f,,pendente,
