id,cruzamento_upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
4551,11,1,1,HORAS NORMAIS,"1000-Salário, vencimento, soldo ou subsídio",OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""HORAS NORMAIS"", ""CodigoEvento"": ""1"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:12.212327
4552,11,2,2,SALARIO MES,"1000-Salário, vencimento, soldo ou subsídio",OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""SALARIO MES"", ""CodigoEvento"": ""2"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:12.212327
4553,11,3,5,PARTICIPACAO LUCROS/RESULTADOS,1300-PLR – Participação em Lucros ou Resultados,OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""PARTICIPACAO LUCROS/RESULTADOS"", ""CodigoEvento"": ""5"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1300-PLR – Participação em Lucros ou Resultados""}",2026-03-27 16:02:12.212327
4554,11,4,10,GRATIFICAÇÃO,1211-Gratificações,OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""GRATIFICAÇÃO"", ""CodigoEvento"": ""10"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-27 16:02:12.212327
4555,11,5,12,DIF. SALARIO,"1000-Salário, vencimento, soldo ou subsídio",OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DIF. SALARIO"", ""CodigoEvento"": ""12"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:12.212327
4556,11,6,17,SALARIO MES,6000-Saldo de salários na rescisão contratual,OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""SALARIO MES"", ""CodigoEvento"": ""17"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""6000-Saldo de salários na rescisão contratual""}",2026-03-27 16:02:12.212327
4557,11,7,21,SALARIO SUBSTITUTO MES ANTERIOR,"1000-Salário, vencimento, soldo ou subsídio",OK,-,"Tipode rendimento no GI está como diversos, verificar deveria estar como salário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""SALARIO SUBSTITUTO MES ANTERIOR"", ""CodigoEvento"": ""21"", ""OBSERVAÇÃO "": ""Tipode rendimento no GI está como diversos, verificar deveria estar como salário"", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:12.212327
4558,11,8,37,DIF. DISSIDIO,"1000-Salário, vencimento, soldo ou subsídio",OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DIF. DISSIDIO"", ""CodigoEvento"": ""37"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:12.212327
4559,11,9,47,SALARIO FAMILIA,1409-Salário-família,OK,Rubrica com inconsistência de IRRF,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""Rubrica com inconsistência de IRRF"", ""Nome Evento"": ""SALARIO FAMILIA"", ""CodigoEvento"": ""47"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1409-Salário-família""}",2026-03-27 16:02:12.212327
4560,11,10,52,ADIC. NOTURNO C/20%,1205-Adicional noturno,OK,-,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""ADIC. NOTURNO C/20%"", ""CodigoEvento"": ""52"", ""OBSERVAÇÃO "": """", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:12.212327
