id,cruzamento_upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
11451,11,1,1,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 1, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11452,11,2,2,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 2, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11453,11,3,3,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 3, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11454,11,4,4,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 4, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11455,11,5,5,,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 5, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 14}",2026-03-27 16:02:12.212327
11456,11,6,6,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 6, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11457,11,7,7,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 7, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11458,11,8,8,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 8, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11459,11,9,9,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 9, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11460,11,10,10,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 10, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11461,11,11,11,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 11, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 0}",2026-03-27 16:02:12.212327
11462,11,12,12,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 12, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11463,11,13,13,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 13, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 0}",2026-03-27 16:02:12.212327
11464,11,14,14,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 14, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 0}",2026-03-27 16:02:12.212327
11465,11,15,15,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 15, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11466,11,16,16,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 16, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11467,11,17,17,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 17, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11468,11,18,18,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 18, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11469,11,19,19,,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 19, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 9}",2026-03-27 16:02:12.212327
11470,11,20,20,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 20, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11471,11,21,21,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 21, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11472,11,22,22,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 22, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11473,11,23,23,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 23, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11474,11,24,24,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 24, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11475,11,25,25,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 25, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11476,11,26,26,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 26, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 0}",2026-03-27 16:02:12.212327
11477,11,27,27,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 27, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11478,11,28,28,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 28, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
