id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb
1,1,1,Nome Evento,CodigoEvento,Natureza E-social,Analise da natureza,EB,Observações,,,,,"{""202501"": ""Nome Evento"", ""__EMPTY"": ""Natureza E-social"", ""__EMPTY_1"": ""Analise da natureza"", ""__EMPTY_2"": ""EB"", ""__EMPTY_3"": ""Observações"", ""Competencia"": ""CodigoEvento""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,HORAS NORMAIS,1,"1000-Salário, vencimento, soldo ou subsídio",OK,-,0,,,,,"{""202501"": ""HORAS NORMAIS"", ""__EMPTY"": ""1000-Salário, vencimento, soldo ou subsídio"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 1}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,SALARIO MES,2,"1000-Salário, vencimento, soldo ou subsídio",OK,-,0,,,,,"{""202501"": ""SALARIO MES"", ""__EMPTY"": ""1000-Salário, vencimento, soldo ou subsídio"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 2}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4,PARTICIPACAO LUCROS/RESULTADOS,5,1300-PLR – Participação em Lucros ou Resultados,OK,-,0,,,,,"{""202501"": ""PARTICIPACAO LUCROS/RESULTADOS"", ""__EMPTY"": ""1300-PLR – Participação em Lucros ou Resultados"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 5}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,5,GRATIFICAÇÃO,10,1211-Gratificações,OK,-,0,,,,,"{""202501"": ""GRATIFICAÇÃO"", ""__EMPTY"": ""1211-Gratificações"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 10}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,6,DIF. SALARIO,12,"1000-Salário, vencimento, soldo ou subsídio",OK,-,0,,,,,"{""202501"": ""DIF. SALARIO"", ""__EMPTY"": ""1000-Salário, vencimento, soldo ou subsídio"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 12}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,7,REEMB. VALE TRANSPORTE,13,1629-Ressarcimento de outras despesas,VERIFICAR ,Rubrica com inconsistência de IRRF,Natureza da Rubrica sugerida - 1810 Transporte,,,,,"{""202501"": ""REEMB. VALE TRANSPORTE"", ""__EMPTY"": ""1629-Ressarcimento de outras despesas"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF"", ""__EMPTY_3"": ""Natureza da Rubrica sugerida - 1810 Transporte"", ""Competencia"": 13}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,8,SALARIO MES,17,6000-Saldo de salários na rescisão contratual,OK,-,0,,,,,"{""202501"": ""SALARIO MES"", ""__EMPTY"": ""6000-Saldo de salários na rescisão contratual"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 17}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,9,ADICIONAL DE SALARIO,18,1211-Gratificações,VERIFICAR ,-,Natureza da Rubrica sujerida 2501 - Prêmio,,,,,"{""202501"": ""ADICIONAL DE SALARIO"", ""__EMPTY"": ""1211-Gratificações"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Natureza da Rubrica sujerida 2501 - Prêmio"", ""Competencia"": 18}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,10,REEMB. EXAME ADMISSIONAL,19,1299-Outros Adicionais,VERIFICAR ,"Rubrica com inconsistência de INSS, IRRF e FGTS",Natureza da Rubrica 1299 foi encerrada em 30.04.2023 - Natureza sujerida 1629 - Ressarcimento de outras despesas,,,,,"{""202501"": ""REEMB. EXAME ADMISSIONAL"", ""__EMPTY"": ""1299-Outros Adicionais"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""Rubrica com inconsistência de INSS, IRRF e FGTS"", ""__EMPTY_3"": ""Natureza da Rubrica 1299 foi encerrada em 30.04.2023 - Natureza sujerida 1629 - Ressarcimento de outras despesas"", ""Competencia"": 19}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
