id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at
1,,1,1,HORAS NORMAIS,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
2,,2,2,SALARIO MES,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
3,,3,5,PARTICIPACAO LUCROS/RESULTADOS,1300 - PLR - Participação nos lucros e resultados,0,14,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",14 - Artigo 3º da Lei nº 10.101/2000,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
4,,4,10,GRATIFICAÇÃO,1211 - Gratificações,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
5,,5,12,DIF. SALARIO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
6,,6,13,REEMB. VALE TRANSPORTE,1810 - Transporte (Servidores e Empregados Públicos),0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 5º da IN 1500/2014,0 - Precedente Administrativo nº 3,,2026-03-29 12:58:13.681214
7,,7,13,REEMB. VALE TRANSPORTE,1810 - Transporte (Servidores e Empregados Públicos),0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 5º da IN 1500/2014,"11 - Precedente Administrativo nº 3, Ato Declaratório 04/2002",,2026-03-29 12:58:13.681214
8,,8,17,SALARIO MES,6000 - Saldo de salários na rescisão contratual,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
9,,9,18,ADICIONAL DE SALARIO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
10,,10,19,REEMB. EXAME ADMISSIONAL,6129 - Outras verbas não remuneratórias (indenizatórias ou multas),0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 6 da Lei nº 7.713/88 e Artigo 2° da Lei n° 8.036/90, e artigo 65 do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
11,,11,21,SALARIO SUBSTITUTO MES ANTERIOR,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
12,,12,35,DIF. D.S.R.,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
13,,13,37,DIF. DISSIDIO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
14,,14,47,SALARIO FAMILIA,1409 - Salário-família,51,9,0,Rubrica com inconsistência de IRRF,"51 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 5º, inciso VII da IN 1500/2014",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
15,,15,52,ADIC. NOTURNO C/20%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
16,,16,53,REEMB. I.R.F.,1623 - Ressarcimento de provisão,0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
17,,17,54,ADIC. NOTURNO C/25%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
18,,18,55,PRO-LABORE,3508 - Retiradas (pró labore) de proprietários ou sócios,11,11,11,Rubrica com inconsistência de FGTS,"11 - Artigo 28, inciso III, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
19,,19,56,ADIC. NOTURNO C/30%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
20,,20,57,ADIC. NOTURNO C/35%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
21,,21,60,ADIC. INSALUBRIDADE 07/2019,1202 - Adicional de insalubridade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
22,,22,61,ADIC. INSALUBRIDADE MES ANT.,1202 - Adicional de insalubridade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
23,,23,62,ADIC. INSALUBRIDADE,1202 - Adicional de insalubridade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
24,,24,64,ADIC. NOTURNO C/50%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
25,,25,65,ADIC. NOTURNO MES ANTERIOR,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
26,,26,66,ADIC. NOTURNO MES ANT 20%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
27,,27,67,DIF. ADIC. INSALUBRIDADE,1202 - Adicional de insalubridade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
28,,28,69,ADIC. PERICULOSIDADE MES ANTER,1203 - Adicional de periculosidade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
29,,29,70,ADIC. PERICULOSIDADE,1203 - Adicional de periculosidade,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
30,,30,81,HORAS REDUZIDAS ADIC. NOT MES ANT,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
142,,142,384,EMPRESTIMO FOLHA,2930 - Insuficiência de saldo,0,0,0,Rubrica com inconsistência de IRRF,0 - Sem previsão legal.,9 - Sem previsão legal.,0 - Sem previsão legal.,,2026-03-29 12:58:13.681214
31,,31,82,HORAS REDUZIDAS ADIC. NOTURNO,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
32,,32,93,F.G.T.S. MULTA,6101 - indenização compensatória - multa rescisória 20 ou 40% (CF/88),0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 28 da Lei nº 8.036/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
33,,33,102,HORAS EXTRAS 60%,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
34,,34,105,HORAS EXTRAS 50%,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
35,,35,108,HORAS EXTRAS 50% - MES ANTERIOR,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
36,,36,123,HORAS EXTRAS 100%,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
