codigo,nome,dt_inicio,dt_fim,descricao,versao
1000,"Salário, vencimento, soldo",2014-01-01,,Corresponde ao salário básico contratual do empregado contratado de acordo com a CLT e o vencimento mensal do servidor público e do militar,17
1001,Subsídio,2014-01-01,,Corresponde à remuneração paga na forma de subsídio,17
1002,Descanso semanal remunerado - DSR,2014-01-01,,"Valor correspondente a um dia de trabalho incidente sobre as verbas de natureza variável, tais como: horas extras, adicional noturno, produção, comissão, etc.",17
1003,Horas extraordinárias,2014-01-01,,"Valor correspondente à hora extraordinária de trabalho, acrescido de percentual de no mínimo 50%",17
1004,Horas extraordinárias - Banco de horas,2014-01-01,,"Valor correspondente a pagamento das horas extraordinárias, inicialmente destinadas para o banco de horas e que não foram compensadas",17
1005,Direito de arena,2014-01-01,,"Valores relativos a direito de arena decorrente do espetáculo, devidos ao atleta",17
1006,Intervalos intra e inter jornadas não concedidos,2014-01-01,,Valores relativos a intervalos não concedidos de intrajornada ou interjornada,17
1007,Luvas e premiações,2014-01-01,,"Valores correspondentes a prêmios e luvas, devidos ao atleta",17
1009,Salário-família - Complemento,2014-01-01,,Valor excedente ao do fixado pela previdência social para o salário-família,17
1010,Salário in natura - Pagos em bens ou serviços,2014-01-01,,"Salário in natura, também conhecido por salário utilidade, correspondente a remunerações pagas em bens ou serviços",17
1011,Sobreaviso e prontidão,2014-01-01,,Valor correspondente a um percentual da hora normal de trabalho,17
1012,Descanso semanal remunerado - DSR e feriado,2014-01-01,,"Valores correspondentes a DSR e feriado: a) devidos a trabalhadores cuja remuneração não inclua o pagamento do descanso semanal remunerado (horistas, diaristas, semanalistas etc.); b) incidentes sobre parcelas salariais de natureza variável, tais como tarefa, horas extras, adicional noturno, produção, comissão etc.; c) devidos a trabalhadores que prestaram serviços nos dias de repouso semanal e feriado",17
1016,Férias,2014-01-01,,"Valor correspondente à remuneração devida na época da concessão das férias, inclusive o adiantamento de férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias",17
1017,Terço constitucional de férias,2014-01-01,,"Valor correspondente ao terço constitucional de férias relativo à remuneração devida na época da concessão das férias, inclusive o adiantamento de férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de terço constitucional de férias",17
1018,Férias - Abono ou gratificação de férias superior a 20 dias,2014-01-01,,"Remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT",17
1019,Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias,2014-01-01,,"Terço constitucional de férias incidente sobre remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT",17
1020,Férias,2014-01-01,2023-04-30,"Valor correspondente à remuneração a que faz jus na época da concessão das férias e o adicional constitucional a que o trabalhador adquiriu direito, inclusive o adiantamento de férias, quando pagas antecipadamente  nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias",17
