id,codigo,nome,descricao,data_inicio,data_fim,criado_em
131,1000,"Salário, vencimento, soldo",Corresponde ao salário básico contratual do empregado contratado de acordo com a CLT e o vencimento mensal do servidor público e do militar,2014-01-01,,2026-03-26 13:02:31.062811
132,1001,Subsídio,Corresponde à remuneração paga na forma de subsídio,2014-01-01,,2026-03-26 13:02:31.062811
133,1002,Descanso semanal remunerado - DSR,"Valor correspondente a um dia de trabalho incidente sobre as verbas de natureza variável, tais como: horas extras, adicional noturno, produção, comissão, etc.",2014-01-01,,2026-03-26 13:02:31.062811
134,1003,Horas extraordinárias,"Valor correspondente à hora extraordinária de trabalho, acrescido de percentual de no mínimo 50%",2014-01-01,,2026-03-26 13:02:31.062811
135,1004,Horas extraordinárias - Banco de horas,"Valor correspondente a pagamento das horas extraordinárias, inicialmente destinadas para o banco de horas e que não foram compensadas",2014-01-01,,2026-03-26 13:02:31.062811
136,1005,Direito de arena,"Valores relativos a direito de arena decorrente do espetáculo, devidos ao atleta",2014-01-01,,2026-03-26 13:02:31.062811
137,1006,Intervalos intra e inter jornadas não concedidos,Valores relativos a intervalos não concedidos de intrajornada ou interjornada,2014-01-01,,2026-03-26 13:02:31.062811
138,1007,Luvas e premiações,"Valores correspondentes a prêmios e luvas, devidos ao atleta",2014-01-01,,2026-03-26 13:02:31.062811
139,1009,Salário-família - Complemento,Valor excedente ao do fixado pela previdência social para o salário-família,2014-01-01,,2026-03-26 13:02:31.062811
140,1010,Salário in natura - Pagos em bens ou serviços,"Salário in natura, também conhecido por salário utilidade, correspondente a remunerações pagas em bens ou serviços",2014-01-01,,2026-03-26 13:02:31.062811
141,1011,Sobreaviso e prontidão,Valor correspondente a um percentual da hora normal de trabalho,2014-01-01,,2026-03-26 13:02:31.062811
142,1012,Descanso semanal remunerado - DSR e feriado,"Valores correspondentes a DSR e feriado: a) devidos a trabalhadores cuja remuneração não inclua o pagamento do descanso semanal remunerado (horistas, diaristas, semanalistas etc.); b) incidentes sobre parcelas salariais de natureza variável, tais como tarefa, horas extras, adicional noturno, produção, comissão etc.; c) devidos a trabalhadores que prestaram serviços nos dias de repouso semanal e feriado",2014-01-01,,2026-03-26 13:02:31.062811
143,1016,Férias,"Valor correspondente à remuneração devida na época da concessão das férias, inclusive o adiantamento de férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias",2014-01-01,,2026-03-26 13:02:31.062811
144,1017,Terço constitucional de férias,"Valor correspondente ao terço constitucional de férias relativo à remuneração devida na época da concessão das férias, inclusive o adiantamento de férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de terço constitucional de férias",2014-01-01,,2026-03-26 13:02:31.062811
145,1018,Férias - Abono ou gratificação de férias superior a 20 dias,"Remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT",2014-01-01,,2026-03-26 13:02:31.062811
146,1019,Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias,"Terço constitucional de férias incidente sobre remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT",2014-01-01,,2026-03-26 13:02:31.062811
