id,tabela_eb_id,cod_rubrica,descricao,inss_antes,irrf_antes,fgts_antes,inss_correto,irrf_correto,fgts_correto,status,corrigido_em,observacao,created_at
1034,11,11,1/3 FERIAS VENCIDAS INDENIZADAS (Rescisao),0,0,0,0,74,0,realizada,2026-03-28 02:01:43.470062,,2026-03-25 16:47:17.339052
1035,13,13,REEMB. VALE TRANSPORTE,0,0,0,0,9,0,realizada,2026-03-28 02:02:40.381582,,2026-03-25 16:47:17.341816
1036,14,14,REEMB. CONTRIBUICAO COLABORATIVA LABORAL,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.343871
1037,19,19,REEMB. EXAME ADMISSIONAL,0,9,0,11,11,11,realizada,,,2026-03-25 16:47:17.3458
1038,24,24,PREMIO,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.347563
1039,25,25,PREMIO CONSIGNADO - VEND,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.348888
1040,26,26,PREMIO DOMINGOS,0,0,0,0,11,0,pendente,,,2026-03-25 16:47:17.349803
1041,30,30,PREMIO MES ANTERIOR,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.350708
1042,33,33,PREMIO SEGUROS,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.351696
1043,34,34,PREMIO SEGUROS GER,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.352743
1044,47,47,SALARIO FAMILIA,51,9,0,51,79,0,pendente,,,2026-03-25 16:47:17.353967
1045,50,50,SALARIO AUTONOMO,11,11,0,11,11,11,pendente,,,2026-03-25 16:47:17.355546
1046,55,55,PRO-LABORE,11,11,11,11,11,0,pendente,,,2026-03-25 16:47:17.356963
1047,84,86,HORA FICTA,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.358303
1048,86,87,HORA FICTA MES ANTERIOR,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.359902
1049,135,135,D.S.R. S/HORA EXTRA,11,11,11,0,9,0,pendente,,,2026-03-25 16:47:17.361158
1050,137,137,REEMB. EXAME ADMISSIONAL,0,9,0,11,11,11,pendente,,,2026-03-25 16:47:17.362306
1051,149,148,MULTA CLAUSULA DECIMA CCT,0,0,0,0,79,0,pendente,,,2026-03-25 16:47:17.363924
1052,157,156,DIF. FERIAS,0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.365393
1053,158,157,DIF PAGTO AGO-2015,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.366852
1054,188,185,INDENIZACAO LEI Nº 7.238/84,11,11,11,0,74,0,pendente,,,2026-03-25 16:47:17.368421
1055,190,188,P.L.R. REF.CCT 2011 TRT CPS,0,11,11,0,14,0,pendente,,,2026-03-25 16:47:17.369957
1056,196,194,F.G.T.S. MES ANTERIOR (TEMP),0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.371314
1057,197,195,F.G.T.S. FIM DE CONTRATO,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.372913
1058,216,213,ABONO DE SALARIO,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.374677
1059,217,214,ACERTO DE FOLHA,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.376223
1060,231,228,REEMB. DESC. ASSIST. MEDICA,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.37761
1061,233,229,REEMB. CESTA PREMIO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.378638
1062,235,230,REEMB. DESC. CONF./ASSI,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.379954
1063,239,233,REEMB. REFEICAO,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.381304
1064,240,234,REEMB. EXAMES MÉDICOS,0,9,0,11,11,11,pendente,,,2026-03-25 16:47:17.382817
1065,241,235,TERCO CONSTIT FERIAS,11,11,11,11,13,11,pendente,,,2026-03-25 16:47:17.384097
1066,244,237,REEMB. SERVICOS EXTRAS,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.385556
1067,246,238,REEMB. VALE GUELTA,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.38671
1068,249,240,REEMB. SALARIO FAMILIA,51,0,0,51,79,0,pendente,,,2026-03-25 16:47:17.388217
1069,250,241,SALÁRIO FAMILIA MES ANTERIOR,51,0,0,51,79,0,pendente,,,2026-03-25 16:47:17.38985
1070,252,243,REEMB. CONTRIB. SINDICAL,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.391284
1071,257,247,DIF. SALARIO FAMILIA,51,0,0,51,79,0,pendente,,,2026-03-25 16:47:17.392849
1072,258,248,REEMB CONTRIB. ASSIST,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.394016
1073,260,249,REEMB. DESC. ASS. ODONTOLOGICA,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.395587
1074,264,252,AJUDA CRECHE CCT,0,0,0,0,79,0,pendente,,,2026-03-25 16:47:17.397081
1075,266,254,REEMB. MENSALIDADE. SINDICAL,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.39875
1076,269,257,ABONO DE FERIAS ARTº 143 (Ferias),0,75,0,Rubrica não encontrada,Rubrica não encontrada,Rubrica não encontrada,pendente,,,2026-03-25 16:47:17.400192
1077,270,258,1/3 S/ABONO FERIAS ARTº 143 (Ferias),0,75,0,Rubrica não encontrada,Rubrica não encontrada,Rubrica não encontrada,pendente,,,2026-03-25 16:47:17.401348
1078,273,261,REEMB. CONTRIBUICOES,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.4023
1079,275,263,MULTA CLAUSULA DECIMA SEXTA CCT,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.40321
1080,277,264,MULTA VIGESIMA SETIMA CCT,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.40422
1081,280,266,REEMB. CURSOS / TREINAMENTO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.405544
1082,286,271,TRANSPORTE,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.406675
1083,288,272,TRANSPORTE OUTUBRO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.40756
1084,291,274,TRANSPORTE SETEMBRO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.40885
1085,294,276,PAGTO. VALE-TRANSPORTE,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.410407
1086,298,279,DEVOL DESC. ASSIST. MEDICA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.411185
1087,299,280,DIF. AJUDA CRECHE CCT,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.41182
1088,301,281,PAGTO. ASSIST. ODONTOLOGICA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.41326
1089,304,283,1ª PARCELA 13º SALARIO NAO SUJEITO F.G.T.S.,0,0,0,0,9,12,pendente,,,2026-03-25 16:47:17.414334
1090,306,285,PAGTO. OUTROS BENEFICIOS,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.41527
1091,308,286,REEMB. VALE TRANSP. TREINAMENTO,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.416153
1092,312,290,ADIC. PERICULOSIDADE S/1ª PARCELA 13º SALARIO,0,0,12,0,9,12,pendente,,,2026-03-25 16:47:17.417209
1093,313,291,ADIC. INSALUBRIDADE S/1ª 13º SALARIO,0,0,12,0,9,12,pendente,,,2026-03-25 16:47:17.418058
1094,315,293,F.G.T.S. S/13º SALARIO,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.418764
1095,316,294,DESP DE VIAGENS,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.419434
1096,318,295,REEMB. ASSIST. MEDICA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.420403
1097,320,297,COMPLEMENTO PREVIDENCIARIO,0,9,0,0,11,0,pendente,,,2026-03-25 16:47:17.422256
1098,321,298,ADIANT. COMPLEMENTAR,0,0,0,0,11,0,pendente,,,2026-03-25 16:47:17.423488
1099,324,300,ABONO IDADE TEMP SERVICO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.42458
1100,325,301,ACORDO JUDICIAL,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.425462
1101,327,302,REEMB. DESC.VALE TRANSPORTE,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.426872
1102,332,306,REEMB. VALE-TRANSPORTE REF. EXTRAS,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.427766
1103,340,313,DEVOLUCAO DESC. CRACHA,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.428458
1104,343,315,DIF. GUELTA PAGA,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.429654
1105,347,319,REEMB. CONSULTA. MEDICA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.431155
1106,349,321,AUXILIO LENTE,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.432468
1107,351,323,HORA FICTA SEAC,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.433586
1108,354,325,HORA FICTA SEAC - MES ANT,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.434533
1109,356,330,AJUSTE AVISO PREVIO CLAUSULA 28° CCT,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.435556
1110,364,342,DIF. CESTA BASICA CCT,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.436444
1111,370,347,FERIAS VENCIDAS INDENIZADAS (Rescisao),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.437281
1112,371,348,1/3 FERIAS VENCIDAS INDENIZADAS (Rescisao),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.438595
1113,372,349,AVISO PREVIO INDENIZADO (Lei 12506),0,9,21,0,74,21,pendente,,,2026-03-25 16:47:17.439698
1114,379,353,AVISO PREVIO INDENIZADO,0,0,21,0,74,21,pendente,,,2026-03-25 16:47:17.440993
1115,380,354,MEDIAS S/AVISO PREVIO INDENIZADO,0,0,21,0,74,21,pendente,,,2026-03-25 16:47:17.442362
1116,381,355,ADIC. FERIAS TEMP,0,13,0,0,74,0,pendente,,,2026-03-25 16:47:17.443493
1117,383,357,FERIAS PROPORCIONAIS (Rescisao),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.444622
1118,384,358,1/3 FERIAS PROPORCIONAIS (Rescisao),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.445703
1119,385,359,ADIC. FERIAS INDENIZADAS (Rescisao),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.447232
1120,386,360,1/3 ADIC. FERIAS INDENIZADAS (Rescisao),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.448325
1121,387,361,ADIC. FERIAS S/AVISO PREVIO,0,13,0,0,74,0,pendente,,,2026-03-25 16:47:17.449225
1122,390,363,EMPRESTIMO SALDO NEGATIVO,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.449979
1123,391,364,ADIC. PERICULOSIDADE FERIAS INDENIZADAS,11,11,11,0,74,0,pendente,,,2026-03-25 16:47:17.450632
1124,392,365,ABONO APOSENTADORIA,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.451263
1125,394,367,13º SALARIO PROP. S/AVISO PREVIO (Lei 12506),12,12,21,12,74,21,pendente,,,2026-03-25 16:47:17.45183
1126,395,368,FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.452263
1127,396,369,1/3 FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506),0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.452703
1128,398,371,13º SALARIO PROP. S/AVISO PREVIO,12,12,21,12,74,21,pendente,,,2026-03-25 16:47:17.453119
1129,399,372,FERIAS S/AVISO PREVIO INDENIZADO,0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.453951
1130,400,373,1/3 FERIAS S/AVISO PREVIO INDENIZADO,0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.455416
1131,401,374,1/3 ADIC. FERIAS S/AVISO PREVIO,0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.456437
1132,402,375,ADIC. 13º SALARIO S/AVISO PREVIO,12,12,21,12,74,21,pendente,,,2026-03-25 16:47:17.457489
1133,409,384,EMPRESTIMO FOLHA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.458917
1134,410,387,FERIAS VENCIDAS INDENIZ.,0,13,0,0,74,0,pendente,,,2026-03-25 16:47:17.459968
1135,414,391,SALARIO MATERNIDADE (antigo),21,11,11,0,9,0,pendente,,,2026-03-25 16:47:17.460967
1136,417,393,F.G.T.S. S/AVISO PREVIO (Rescisao),0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.462048
1137,418,394,DESC. PROGAM.QUALIFI.PROFISSIONAL - PQM,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.463461
1138,420,396,DEVOL. I.N.S.S. - 13º SALARIO,0,11,0,0,9,0,pendente,,,2026-03-25 16:47:17.464653
1139,421,397,DIF - DESP DE VIAGENS,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.465736
1140,423,398,DIF-DESC. AJUSTE DESP DE VIAGENS,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.466923
1141,438,407,MEDIAS FERIAS S/ABONO (Ferias),0,75,0,0,11,0,pendente,,,2026-03-25 16:47:17.468146
1142,439,408,1/3 MEDIAS FERIAS S/ABONO (Ferias),0,75,0,0,11,0,pendente,,,2026-03-25 16:47:17.469264
1143,442,410,FERIAS MES SEGUINTE,0,0,0,11,13,11,pendente,,,2026-03-25 16:47:17.470208
1144,444,411,MEDIA HORAS EXTRAS FERIAS PROP,0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.472416
1145,445,412,1/3 ADIC. FERIAS MES SEGUINTE,0,0,0,11,13,11,pendente,,,2026-03-25 16:47:17.473483
1146,447,413,1/3 FERIAS FERIAS PROPORCIONAL,0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.474709
1147,448,414,1/3 FERIAS MES SEGUINTE,0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.475715
1148,449,415,1/3 FERIAS S/AVISO,0,0,0,11,13,11,pendente,,,2026-03-25 16:47:17.47656
1149,451,416,1/3 MEDIA FERIAS PROPORCIONAL,0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.477523
1150,458,420,ABONO PECUNIARIO RODOVIARIOS,0,75,0,Rubrica não encontrada,Rubrica não encontrada,Rubrica não encontrada,pendente,,,2026-03-25 16:47:17.478286
1151,459,421,AJUDA DE CUSTO,0,73,0,11,11,11,pendente,,,2026-03-25 16:47:17.479742
1152,460,422,ANTECIPACAO DE PGTO.,0,0,0,0,11,0,pendente,,,2026-03-25 16:47:17.480965
1153,462,423,AUXILIO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.482023
1154,463,424,AUXILIO FUNERAL,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.482754
1155,464,425,AUXILIO MORADIA,0,0,0,0,79,0,pendente,,,2026-03-25 16:47:17.483252
1156,465,426,COMBUSTIVEL,0,0,0,0,11,0,pendente,,,2026-03-25 16:47:17.483821
1157,466,427,ATUALIZACAO MONETARIA,0,9,0,11,11,11,pendente,,,2026-03-25 16:47:17.484526
1158,468,428,REEMBOLSO DESC. INDEVIDO,0,9,0,11,11,11,pendente,,,2026-03-25 16:47:17.485268
1159,469,429,DESC. INDEVIDO DE FALTAS,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.486074
1160,470,430,DEVOLUCAO DESC. VT,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.48693
1161,472,431,DEVOLUCAO DESC. MULTAS TRANSITO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.488308
1162,474,432,DEVOLUCAO PENDEN PREST CONTAS,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.489368
1163,476,433,DEVOLUCAO UNIFORMES,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.490495
1164,478,434,ADIC. DE ABONO,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.491863
1165,479,435,ADIC. FERIAS MES SEGUINTE,0,0,0,11,13,11,pendente,,,2026-03-25 16:47:17.492915
1166,481,436,ADIC. FERIAS VENCIDAS,0,9,0,0,74,0,pendente,,,2026-03-25 16:47:17.493681
1167,491,445,DIF. OUTROS BENEFICIOS,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.494468
1168,495,448,GRATIFICACAO,0,9,0,11,11,11,pendente,,,2026-03-25 16:47:17.49584
1169,497,450,FERIAS MES A MES INDENIZADA (TEMP),0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.497377
1170,498,451,1/3 FERIAS MES A MES INDENIZADA,0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.498133
1171,500,453,ANTECIPACAO 13º SALARIO,0,0,12,0,9,12,pendente,,,2026-03-25 16:47:17.498677
1172,501,454,DESC. AVARIA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.499344
1173,507,460,FERIAS PARA ABATER DESCONTO,11,13,11,0,74,0,pendente,,,2026-03-25 16:47:17.500045
1174,508,461,DESC. FERIAS PARA ABATER DESCONTO,11,13,11,0,74,0,pendente,,,2026-03-25 16:47:17.500875
1175,514,466,CLAUSULA 22ª CCT TRT SP 06/13,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.501622
1176,516,467,CLAUSULA 22ª CCT TRT SP 07/13,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.502354
1177,518,468,CLAUSULA 22ª CCT TRT SP 08/13,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.503099
1178,522,471,CLAUSULA 22ª CCT TRT SP 09/13,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.50394
1179,524,472,CLAUSULA 22ª CCT TRT SP 10/13,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.505509
1180,526,473,ARTIGO 071,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.506726
1181,528,474,ARTIGO 071 MES ANTERIOR,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.507674
1182,530,475,ARTIGO 071 TRT EMERGENCIAL,11,11,11,0,11,0,pendente,,,2026-03-25 16:47:17.509048
1183,532,476,TRIBUTO S/SALARIO (NÃO UTILIZAR),0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.510039
1184,534,477,TRIBUTO S/BENEFICIO (NÃO UTILIZAR),0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.511406
1185,536,478,ARTIGO 477,0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.512481
1186,537,479,INDENIZACAO ARTº 479,0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.513808
1187,539,481,ADIC. 13º SALARIO S/AVISO PREVIO,12,12,21,12,74,21,pendente,,,2026-03-25 16:47:17.514826
1188,541,483,F.G.T.S. MES ANTERIOR,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.515641
1189,542,484,AJUDA COMPUSORIA MP936,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.516384
1190,543,485,DIF. ASSISTENCIA ODONTOLOGICA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.517146
1191,544,486,F.G.T.S. 13º FATURADO 1 AVO,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.517637
1192,547,490,DIF. ASSISTENCIA MEDICA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.518049
1193,548,499,DIF. VALE-TRANSPORTE,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.51843
1194,558,508,DESC. D.S.R. MES ANTERIOR,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.519048
1195,572,514,DESC. FALTA DEVOLUCAO MATERIAL,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.519611
1196,578,520,DESC. AVARIA,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.520222
1197,579,521,DESC. AVISO PREVIO,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.521623
1198,580,522,DESC. CO PARTICIPACAO A.M.,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.522665
1199,581,523,DESC. COMISSAO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.523611
1200,582,524,DESC. DIF. SALARIO,0,0,0,11,11,11,pendente,,,2026-03-25 16:47:17.52486
1201,587,526,DESC. PLR,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.52613
1348,890,772,DESC. CESTA BASICA,0,79,0,0,9,0,pendente,,,2026-03-25 16:47:17.632757
1202,589,527,DESC. PROGRAMA ASSIST. FAMILIAR (PAF),0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.526881
1203,590,528,DESC. QUEBRA CAIXA (FALTA DE CAIXA),0,0,0,0,74,0,pendente,,,2026-03-25 16:47:17.527543
1204,591,529,DESC. BENEFICIO SOC. FAMILIAR - 02/2015,0,0,0,0,9,0,pendente,,,2026-03-25 16:47:17.528023
