id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,raw_data,created_at
75,75,1650,Diárias de viagem,01/05/2018,"",Diárias de viagem ao trabalhador,"","{""NOME"": ""Diárias de viagem"", ""DTFIM"": null, ""CODIGO"": 1650, ""DTINICIO"": 1052018, ""DESCRICAO"": ""Diárias de viagem ao trabalhador"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
197,197,9902,Total da base de cálculo do FGTS,01/01/2014,"",Valor total da base de cálculo do FGTS,"","{""NOME"": ""Total da base de cálculo do FGTS"", ""DTFIM"": null, ""CODIGO"": 9902, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor total da base de cálculo do FGTS"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
195,195,9299,Outros descontos,01/01/2014,"",Outros descontos não previstos nos demais itens,"","{""NOME"": ""Outros descontos"", ""DTFIM"": null, ""CODIGO"": 9299, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Outros descontos não previstos nos demais itens"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
1,1,1000,"Salário, vencimento, soldo",01/01/2014,"",Corresponde ao salário básico contratual do empregado contratado de acordo com a CLT e o vencimento mensal do servidor público e do militar,"","{""NOME"": ""Salário, vencimento, soldo"", ""DTFIM"": null, ""CODIGO"": 1000, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Corresponde ao salário básico contratual do empregado contratado de acordo com a CLT e o vencimento mensal do servidor público e do militar"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
2,2,1001,Subsídio,01/01/2014,"",Corresponde à remuneração paga na forma de subsídio,"","{""NOME"": ""Subsídio"", ""DTFIM"": null, ""CODIGO"": 1001, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Corresponde à remuneração paga na forma de subsídio"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
4,4,1003,Horas extraordinárias,01/01/2014,"","Valor correspondente à hora extraordinária de trabalho, acrescido de percentual de no mínimo 50%","","{""NOME"": ""Horas extraordinárias"", ""DTFIM"": null, ""CODIGO"": 1003, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente à hora extraordinária de trabalho, acrescido de percentual de no mínimo 50%"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
5,5,1004,Horas extraordinárias - Banco de horas,01/01/2014,"","Valor correspondente a pagamento das horas extraordinárias, inicialmente destinadas para o banco de horas e que não foram compensadas","","{""NOME"": ""Horas extraordinárias - Banco de horas"", ""DTFIM"": null, ""CODIGO"": 1004, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a pagamento das horas extraordinárias, inicialmente destinadas para o banco de horas e que não foram compensadas"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
6,6,1005,Direito de arena,01/01/2014,"","Valores relativos a direito de arena decorrente do espetáculo, devidos ao atleta","","{""NOME"": ""Direito de arena"", ""DTFIM"": null, ""CODIGO"": 1005, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores relativos a direito de arena decorrente do espetáculo, devidos ao atleta"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
7,7,1006,Intervalos intra e inter jornadas não concedidos,01/01/2014,"",Valores relativos a intervalos não concedidos de intrajornada ou interjornada,"","{""NOME"": ""Intervalos intra e inter jornadas não concedidos"", ""DTFIM"": null, ""CODIGO"": 1006, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores relativos a intervalos não concedidos de intrajornada ou interjornada"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
8,8,1007,Luvas e premiações,01/01/2014,"","Valores correspondentes a prêmios e luvas, devidos ao atleta","","{""NOME"": ""Luvas e premiações"", ""DTFIM"": null, ""CODIGO"": 1007, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores correspondentes a prêmios e luvas, devidos ao atleta"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
