id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
4096,,1,1,HORAS NORMAIS,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""1"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""HORAS NORMAIS"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4097,,2,2,SALARIO MES,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""2"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""SALARIO MES"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4098,,3,5,PARTICIPACAO LUCROS/RESULTADOS,1300-PLR – Participação em Lucros ou Resultados,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""5"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""14"", ""Nome Evento"": ""PARTICIPACAO LUCROS/RESULTADOS"", ""Natureza E-social"": ""1300-PLR – Participação em Lucros ou Resultados""}",2026-03-27 16:02:24.74194
4099,,4,10,GRATIFICAÇÃO,1211-Gratificações,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""10"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""GRATIFICAÇÃO"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-27 16:02:24.74194
4100,,5,12,DIF. SALARIO,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""12"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DIF. SALARIO"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4101,,6,13,REEMB. VALE TRANSPORTE,1810-Transporte,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""13"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. VALE TRANSPORTE"", ""Natureza E-social"": ""1810-Transporte""}",2026-03-27 16:02:24.74194
4102,,7,17,SALARIO MES,6000-Saldo de salários na rescisão contratual,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""17"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""SALARIO MES"", ""Natureza E-social"": ""6000-Saldo de salários na rescisão contratual""}",2026-03-27 16:02:24.74194
4103,,8,18,ADICIONAL DE SALARIO,"1000-Salário, vencimento, soldo",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""18"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADICIONAL DE SALARIO"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo""}",2026-03-27 16:02:24.74194
4104,,9,19,REEMB. EXAME ADMISSIONAL,6129-Outras multas ou indenizações,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""19"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. EXAME ADMISSIONAL"", ""Natureza E-social"": ""6129-Outras multas ou indenizações""}",2026-03-27 16:02:24.74194
4105,,10,21,SALARIO SUBSTITUTO MES ANTERIOR,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""21"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""SALARIO SUBSTITUTO MES ANTERIOR"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
